emptyDate,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-08-01,Clementine,Produce,,,3.98,Food Basics,680.72,333.28
2025-08-01,Banana,Produce,,,1.55,Food Basics,,
2025-08-01,Avocado,Produce,,,5.96,Food Basics,,
2025-08-01,Sweet Potato,Produce,,,9.77,Food Basics,,
2025-08-01,Chocolate Digestive,Snacks,,,3.49,Loblaws,,
2025-08-01,Digestive,Snacks,,,2.99,Loblaws,,
2025-08-01,Milk,Dairy,,,7.68,Loblaws,,
2025-08-01,BBQ Chicken,Hot Foods,,,13,Loblaws,,
2025-08-01,HST,Tax,,,1.69,Loblaws,,
2025-08-01,"Costco Bulk Buy (Cereals , Olive Oil, Dish Soap)",Groceries,,,112.87,Costco,,
2025-08-01,Purple Onion 10LB,Produce,,,10.99,Ton Tai,,
2025-08-01,Fresh Chicken Quarter Leg,Meat,,,7.38,Ton Tai,,
2025-08-01,Fresh Chicken Quarter Leg,Meat,,,10.09,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.49,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.59,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.79,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.96,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.55,Ton Tai,,
2025-08-01,Great Lake Mackerel,Meat,,,8.43,Ton Tai,,
2025-08-01,Haden Mango (3 for $4.98),Produce,,,9.96,Ton Tai,,
2025-08-01,Goat Meat,Meat,,,28.97,Ton Tai,,
2025-08-02,Cedar Sardine,Groceries,5,1.99,9.95,Food Basics,,
2025-08-02,Goldseal Sardine,Groceries,5,1.49,7.45,Food Basics,,
2025-08-02,Timhortens Hot Chocolate,Beverages,,,7.49,Food Basics,,
2025-08-02,Marshalow Hot Chocolate,Beverages,,,6.99,Food Basics,,
2025-08-02,Pepsi,Groceries,,,1.99,Food Basics,,
2025-08-02,Fanta Pineapple,Groceries,,,1.99,Food Basics,,
2025-08-02,IceCream,Dairy,,,4.88,Food Basics,,
2025-08-02,HST,Tax,,,1.08,Food Basics,,
2025-08-03,PALM DISH ORIGINAL,Kitchen,,,3.99,Loblaws,,
2025-08-03,SUNRYPE FRUIT2GO,Groceries,,,2.37,Loblaws,,
2025-08-03,KRAFT BBQ SC,Groceries,,,4.99,Loblaws,,
2025-08-03,GG WHL CORN,Groceries,,,3.98,Loblaws,,
2025-08-03,EZEKL BRD,Bakery,,,9.99,Loblaws,,
2025-08-03,GRAPE RED SDL CS,Produce,,,4.86,Loblaws,,
2025-08-03,FM MINI CROIS,Bakery,,,6,Loblaws,,
2025-08-03,CM BURRITO WH,Bakery,,,5.99,Loblaws,,
2025-08-03,RCLA STK OR HERB,Medicine,,,3.6,Loblaws,,
2025-08-03,LIFE LINER LONG,Toiletries,,,3.49,Loblaws,,
2025-08-03,PC UNS BABYWIPES,Kitchen,,,2.79,Loblaws,,
2025-08-03,HST,Tax,,,1.66,Loblaws,,
2025-08-03,Redeem Points,Discount,,,-20,Loblaws,,
2025-08-03,Egg,Poultry,,30,9.19,Loblaws,,
2025-08-03,Carrot,Produce,,,4.5,Loblaws,,
2025-08-03,Corn Bicolor,Groceries,,,1.4,Loblaws,,
2025-08-03,Bread,Bakery,,,3.99,Loblaws,,
2025-08-03,BBQ Chicken,Hot Foods,,,13,Loblaws,,
2025-08-03,HST,Tax,,,1.69,Loblaws,,
2025-08-04,Milk,Dairy,,,14.82,Loblaws,,
2025-08-04,Ann,Groceries,,,24.99,Metro,,
2025-08-08,Dare Whippet,Snacks,,,4,No Frills,,
2025-08-08,Digestives Ckie MRJ,Snacks,,,5.58,No Frills,,
2025-08-08,Viva Peanuts,Nuts,,,3,No Frills,,
2025-08-08,Mini Avocado 2.2 MRJ,Produce,,,7.39,No Frills,,
2025-08-08,Banana,Produce,,,1.1,No Frills,,
2025-08-08,Glad WT REG,Groceries,,,7.97,Walmart,,
2025-08-08,Glad WT REG,Groceries,,,7.97,Walmart,,
2025-08-08,Glad WT REG,Groceries,,,7.97,Walmart,,
2025-08-08,HDZ Vanilla,Dairy,,,10.97,Walmart,,
2025-08-08,Activia LF V,Dairy,,,4.76,Walmart,,
2025-08-08,Grace Lon GR Rice,Groceries,,,19.97,Walmart,,
2025-08-08,HST,Tax,,,3.11,Walmart,,
2025-08-08,Rewards,Discount,,,-10,Walmart,,
2025-08-09,Philippine Mini Buns,Bakery,,,6.99,T&T,,
2025-08-09,(Sale) Sun Mango,Produce,,,4.74,T&T,,
2025-08-09,T&T Shopping Bag (Reusable Bag),Groceries,,,0.35,T&T,,
2025-08-09,HST,Tax,,,0.07,T&T,,
2025-08-11,TRUTASTE HOMO,Dairy,,,6.49,Loblaws,,
2025-08-11,NESTLE SMARTIES,Dairy,,,6,Loblaws,,
2025-08-11,PC ROTI CHICKEN,Hot Foods,,,13,Loblaws,,
2025-08-11,HST,Tax,,,1.69,Loblaws,,
2025-08-12,Lysol Bleach Bat,Kitchen,,,3.99,Food Basics,,
2025-08-12,Dmonte Can Veg,Groceries,,,1.99,Food Basics,,
2025-08-12,Unico Italian He (3),Groceries,,,4.47,Food Basics,,
2025-08-12,Crenica Digestiv,Snacks,,,2.99,Food Basics,,
2025-08-12,Tinn. Mild Beef J,Bakery,,,11.99,Food Basics,,
2025-08-12,Premium Banana,Produce,,,1.56,Food Basics,,
2025-08-12,Banana Plantain,Produce,,,4.13,Food Basics,,
2025-08-12,Swt Purpl. Potato,Produce,,,4.72,Food Basics,,
2025-08-12,Ibrs Mint Butter,Groceries,,,5.49,Food Basics,,
2025-08-12,HST,Tax,,,0.52,Food Basics,,
2025-08-13,KS FR EGGS,Poultry,,,8.99,Costco,,
2025-08-13,BUTTER 454G,Groceries,,,5.79,Costco,,
2025-08-13,ORIGL TORTIL,Bakery,,,5.99,Costco,,
2025-08-13,SWEET CORN,Produce,,,5.49,Costco,,
2025-08-13,BACKPACK,Groceries,,,29.99,Costco,,
2025-08-13,BACKPACK,Groceries,,,29.99,Costco,,
2025-08-13,PERFEC BUN,Bakery,,,7.99,Costco,,
2025-08-13,ROTI CHICKEN,Hot Foods,,,7.99,Costco,,
2025-08-13,ROTI CHICKEN,Hot Foods,,,7.99,Costco,,
2025-08-13,CHOCOLA MILK,Beverages,,,11.79,Costco,,
2025-08-13,HST,Tax,,,9.87,Costco,,
2025-08-13,Less BackPack,Discount,,,-68,Costco,,
2025-08-13,Cedar Sardine,Groceries,5,,9.95,Food Basics,,
2025-08-13,Goldseal Sardine,Groceries,5,,8.95,Food Basics,,
2025-08-14,Coca Cola,Beverages,,,3.99,Loblaws,,
2025-08-14,TRUTASTE HOMO,Dairy,,,7.68,Loblaws,,
2025-08-14,Mandarin,Produce,,,8,Loblaws,,
2025-08-14,HST,Tax,,,0.52,Loblaws,,
2025-08-14,Roasted Peanut,Nuts,,,3.99,T&T,,
2025-08-14,Mini Buns,Bakery,,,6.99,T&T,,
2025-08-14,HST,Tax,,,0.52,T&T,,